facebook/react	11638	11371	Y	0.59	0.96	0.32	1.00	1.00	1.00	1.00	0.73	0.73	0.00	0.94
elastic/elasticsearch	11661	11658	N	0.63	1.00	1.00	0.86	0.86	1.00	1.00	1.00	1.00	1.00	0.83
JuliaLang/julia	12258	12257	Y	0.58	-0.00	0.06	0.95	1.00	0.91	10.00	0.94	1.00	1.00	0.68
facebook/react	2553	2526	Y	0.58	0.48	0.55	0.99	1.00	0.50	1.00	0.67	1.00	0.00	0.24
elastic/elasticsearch	24474	22641	Y	0.58	0.30	0.02	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.26
rails/rails	19641	19421	Y	0.61	0.53	0.00	0.55	0.55	1.00	3.00	1.00	1.00	-1.00	0.48
joomla/joomla-cms	8750	8436	Y	0.57	-0.00	0.00	1.00	1.00	1.00	4.00	1.00	1.00	0.00	1.00
facebook/react	2443	2422	Y	0.57	0.10	0.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.10
cocos2d/cocos2d-x	13181	13173	N	0.57	-0.00	0.00	1.00	1.00	0.60	3.00	0.92	1.00	0.00	0.61
ansible/ansible	24234	21984	Y	0.58	0.83	0.62	1.00	1.00	1.00	1.00	0.22	0.22	-1.00	0.78
emberjs/ember.js	5437	5370	N	0.55	0.63	0.00	1.00	1.00	0.09	5.00	0.02	0.06	0.00	0.58
angular/angular.js	6166	3863	Y	0.61	0.57	0.00	0.87	0.87	1.00	1.00	1.00	1.00	0.00	0.53
emberjs/ember.js	11120	11119	Y	0.62	0.47	0.31	0.35	0.35	1.00	2.00	1.00	1.00	1.00	0.45
JuliaLang/julia	23460	23395	N	0.57	0.29	0.00	0.89	0.89	0.33	1.00	0.17	0.67	0.00	0.21
rails/rails	4047	4043	Y	0.62	0.79	0.07	0.41	0.41	1.00	2.00	1.00	1.00	1.00	0.80
dotnet/corefx	28284	28272	Y	0.57	0.19	0.01	1.00	1.00	0.78	7.00	0.90	1.00	0.00	0.19
ceph/ceph	21900	21592	Y	0.56	0.16	0.00	0.95	0.95	1.00	9.00	0.73	0.73	0.00	0.87
emberjs/ember.js	1235	519	N	0.61	0.83	0.32	0.71	0.72	0.50	3.00	0.94	1.00	0.00	0.91
django/django	4655	4651	Y	0.60	0.41	0.00	0.77	0.87	0.50	3.00	0.37	0.53	1.00	0.32
cocos2d/cocos2d-x	6764	6755	Y	0.57	0.01	0.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.33
rails/rails	23056	12988	Y	0.55	0.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	-0.00
emberjs/ember.js	11591	11581	N(followup)	0.58	0.85	0.57	1.00	1.00	1.00	1.00	0.00	0.00	1.00	0.96
facebook/react	4344	4220	Y	0.62	0.34	0.14	0.67	0.70	0.50	2.00	0.82	1.00	1.00	0.29
django/django	3909	3694	Y	0.61	0.64	0.38	0.62	0.61	0.28	5.00	0.59	0.81	1.00	0.71
docker/docker	36396	29376	Y	0.61	1.00	0.92	0.55	0.86	0.33	4.00	0.29	0.78	1.00	0.57
dotnet/corefx	21860	16015	N	0.59	0.79	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.73
dotnet/corefx	21183	21010	N(ver)	0.59	0.75	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.71
dotnet/corefx	21514	21010	N(ver)	0.59	0.82	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.79
dotnet/corefx	22240	16015	N	0.59	0.77	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.72
dotnet/corefx	22817	16015	N	0.59	0.56	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.46
django/django	6823	6753	N	0.59	0.79	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.79
cocos2d/cocos2d-x	13778	12071	Y	0.57	0.18	0.26	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.02
ansible/ansible	13550	13178	Y	0.57	0.16	0.22	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.19
rails/rails	22126	15651	N	0.59	0.64	0.00	0.47	0.49	0.50	1.00	0.91	1.00	0.00	0.00
emberjs/ember.js	682	325	N	0.60	0.67	0.00	0.32	0.22	0.50	1.00	0.97	1.00	0.00	0.51
joomla/joomla-cms	18564	18123	Y	0.62	0.38	0.23	0.47	0.47	1.00	1.00	1.00	1.00	1.00	0.21
dotnet/corefx	22961	15812	N	0.59	0.65	0.00	0.00	0.00	0.50	1.00	0.79	1.00	0.00	0.63
ansible/ansible	34019	30757	Y	0.60	0.46	0.46	0.78	0.78	1.00	3.00	1.00	1.00	0.00	0.57
dotnet/corefx	22009	20607	N	0.58	0.51	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.48
dotnet/corefx	22154	20705	N	0.58	0.47	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.44
django/django	6558	4492	N(?)	0.60	0.47	0.00	0.45	0.43	0.50	1.00	0.81	1.00	0.00	0.47
facebook/react	11489	11186	Y	0.61	0.62	0.51	0.65	0.65	1.00	1.00	1.00	1.00	0.00	0.49
rails/rails	21632	21490	Y	0.61	0.75	0.60	0.74	0.74	1.00	2.00	1.00	1.00	0.00	0.76
rails/rails	8288	7075	N(?)	0.61	0.70	0.29	0.64	0.64	1.00	2.00	1.00	1.00	0.00	0.35
ansible/ansible	26998	25623	Y(?)	0.61	0.63	0.29	0.53	0.53	1.00	1.00	1.00	1.00	0.00	0.49
cocos2d/cocos2d-x	14155	14039	Y	0.56	-0.00	0.04	1.00	1.00	1.00	13.00	1.00	1.00	0.00	1.00
rails/rails	4056	3936	N(?)	0.55	-0.00	0.00	0.90	0.91	0.75	3.00	0.65	0.69	0.00	0.92
django/django	4961	4562	Y	0.60	1.00	0.71	0.31	0.32	0.91	10.00	0.62	0.64	1.00	0.80
django/django	4520	4498	Y	0.61	1.00	0.55	0.36	0.36	1.00	2.00	0.78	0.78	1.00	0.77
ansible/ansible	26984	26967	Y	0.61	0.96	0.87	0.60	0.60	0.50	1.00	0.84	1.00	0.00	0.72
docker/docker	9679	9631	N	0.56	-0.00	0.16	0.99	1.00	0.50	3.00	0.89	1.00	0.00	0.59
rails/rails	13772	354	N(?)	0.60	0.38	0.53	0.57	0.63	0.60	3.00	0.84	0.87	-1.00	0.37
docker/docker	23283	23274	N	0.59	0.51	0.15	0.57	0.23	0.30	3.00	0.14	1.00	1.00	0.35
angular/angular.js	4797	4788	Y	0.61	0.80	0.59	0.72	0.72	1.00	2.00	0.89	0.89	0.00	0.80
hashicorp/terraform	13065	12940	Y	0.59	0.91	0.00	0.68	0.89	0.67	4.00	0.53	0.83	0.00	0.69
joomla/joomla-cms	13099	843	N(?)	0.59	0.66	-0.00	0.34	0.34	0.57	4.00	0.86	0.95	0.00	0.55
elastic/elasticsearch	13405	13402	Y	0.59	0.74	0.28	0.66	0.09	0.27	4.00	0.08	0.22	1.00	0.49
rails/rails	17200	14146	N(?)	0.56	0.16	0.07	0.98	0.98	1.00	2.00	0.87	0.87	-1.00	0.18
django/django	5238	1574	N	0.55	0.26	0.00	0.99	0.99	0.08	2.00	0.07	0.19	-1.00	0.31
angular/angular.js	14252	14229	Y	0.55	-0.01	-0.00	1.00	1.00	1.00	20.00	1.00	1.00	0.00	1.00
django/django	636	634	Y	0.61	1.00	0.55	0.75	1.00	0.33	1.00	0.39	1.00	1.00	0.91
rails/rails	31803	31741	Y(?)	0.61	0.39	0.52	0.79	0.77	0.50	2.00	0.73	0.80	1.00	0.27
emberjs/ember.js	12049	12043	Y	0.55	-0.01	0.04	1.00	1.00	0.67	6.00	0.95	1.00	0.00	0.64
ansible/ansible	32592	32421	N	0.57	0.31	0.45	0.19	0.19	0.50	1.00	0.94	0.97	0.00	0.47
joomla/joomla-cms	872	780	Y	0.55	0.02	0.39	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.00
joomla/joomla-cms	5967	4231	Y	0.56	0.00	0.13	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.21
dotnet/corefx	30225	26824	N(ver)	0.59	0.52	0.00	0.17	0.17	1.00	2.00	1.00	1.00	0.00	0.48
hashicorp/terraform	4899	4704	N	0.60	0.50	0.24	0.44	0.44	1.00	3.00	0.56	0.56	1.00	0.31
emberjs/ember.js	14579	14360	Y	0.55	-0.01	0.00	0.90	0.91	0.81	30.00	0.79	0.83	0.00	0.78
elastic/elasticsearch	12544	12538	Y	0.60	0.90	0.59	0.63	0.65	0.20	2.00	0.26	0.78	1.00	0.64
rails/rails	11323	11303	N	0.54	0.15	0.00	1.00	1.00	0.67	2.00	0.03	1.00	0.00	0.76
facebook/react	12621	10255	N	0.60	0.58	0.22	0.25	0.25	1.00	1.00	1.00	1.00	0.00	0.58
facebook/react	12488	10255	N	0.60	0.57	0.25	0.36	0.36	1.00	1.00	1.00	1.00	0.00	0.57
angular/angular.js	8926	1653	N(similar)	0.60	0.87	0.57	0.47	0.47	1.00	2.00	1.00	1.00	0.00	0.76
facebook/react	1702	1548	Y	0.60	0.60	0.33	0.47	0.47	1.00	1.00	1.00	1.00	-1.00	0.60
angular/angular.js	8781	7685	N(?)	0.59	0.65	0.00	0.14	0.14	0.50	1.00	0.84	1.00	0.00	0.24
docker/docker	14312	14177	Y	0.61	0.58	0.51	0.00	0.00	1.00	1.00	1.00	1.00	1.00	0.57
docker/docker	1488	999	Y	0.61	0.58	0.56	0.00	0.00	1.00	1.00	1.00	1.00	1.00	0.58
hashicorp/terraform	9140	6836	N	0.59	0.86	0.24	0.57	0.27	0.20	1.00	0.87	1.00	0.00	0.73
docker/docker	6412	6358	Y	0.59	0.54	0.12	0.46	0.46	1.00	1.00	1.00	1.00	0.00	0.16
elastic/elasticsearch	4905	2901	Y	0.60	0.55	0.13	0.56	0.56	1.00	1.00	1.00	1.00	0.00	0.22
cocos2d/cocos2d-x	12149	12139	Y	0.59	0.50	0.33	0.70	0.20	0.50	2.00	0.89	1.00	0.00	0.65
emberjs/ember.js	11155	10983	N	0.59	0.34	0.00	0.26	0.02	0.50	1.00	0.85	1.00	0.00	0.34
dotnet/corefx	9334	9312	N	0.59	0.86	0.00	0.00	0.00	1.00	29.00	1.00	1.00	0.00	0.86
docker/docker	15185	14966	N(?)	0.59	1.00	0.34	0.20	0.16	0.14	3.00	0.36	0.79	1.00	0.34
angular/angular.js	10437	10427	N(?)	0.60	0.75	0.99	0.31	0.31	1.00	2.00	0.88	0.88	-1.00	0.74
elastic/elasticsearch	22935	22930	Y	0.60	0.58	0.11	0.75	0.75	1.00	2.00	0.44	0.44	1.00	0.65
JuliaLang/julia	11604	8673	N	0.59	0.73	0.68	0.83	0.83	0.60	3.00	0.69	0.77	-1.00	0.60
docker/docker	34913	32947	Y	0.59	0.71	0.73	0.53	0.53	0.67	4.00	0.72	0.77	-1.00	0.68
angular/angular.js	10136	9865	Y	0.60	0.70	0.78	0.83	0.83	1.00	2.00	0.20	0.20	1.00	0.88
facebook/react	8749	8705	N	0.59	0.36	-0.00	0.55	0.55	1.00	1.00	1.00	1.00	0.00	0.28
joomla/joomla-cms	18075	18060	Y	0.60	0.49	0.42	0.50	0.81	0.50	1.00	0.23	0.67	1.00	0.51
angular/angular.js	14220	12957	N	0.55	0.52	0.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.41
ceph/ceph	20413	20384	Y	0.61	0.56	0.22	0.00	0.00	0.67	2.00	0.82	1.00	1.00	0.39
joomla/joomla-cms	20043	6692	N	0.59	0.50	0.30	0.52	0.61	0.25	1.00	0.83	0.95	0.00	0.28
joomla/joomla-cms	1676	1024	Y	0.55	-0.00	0.00	1.00	1.00	0.50	1.00	0.67	1.00	0.00	0.66
ansible/ansible	41863	40689	N	0.60	0.53	0.60	0.12	0.12	1.00	1.00	1.00	1.00	1.00	0.69
django/django	6605	4105	N(followup)	0.59	0.39	0.28	0.44	0.45	0.30	3.00	0.79	1.00	-1.00	0.33
ceph/ceph	4069	3561	Y	0.58	0.52	0.00	0.59	0.59	0.38	3.00	0.27	0.37	0.00	0.41
docker/docker	22391	21422	N	0.59	0.50	0.04	0.61	0.61	1.00	1.00	0.81	0.81	0.00	0.89
ansible/ansible	16672	14049	Y	0.59	0.50	0.51	0.32	0.32	1.00	1.00	1.00	1.00	0.00	0.50
angular/angular.js	6299	5560	N	0.59	0.38	0.24	0.27	0.27	1.00	2.00	0.91	0.91	0.00	0.37
JuliaLang/julia	18658	17246	N(?)	0.59	0.39	0.39	0.39	0.71	0.09	5.00	0.04	0.55	1.00	0.55
angular/angular.js	3086	2293	N	0.59	0.65	0.00	0.51	0.51	1.00	2.00	0.79	0.79	0.00	0.47
docker/docker	6525	5492	N	0.56	0.62	0.17	0.25	0.44	0.20	1.00	0.28	1.00	0.00	0.44
django/django	9565	9386	Y	0.59	0.78	0.00	0.13	0.10	0.67	2.00	0.52	0.59	1.00	0.78
ansible/ansible	19140	18706	N	0.59	0.31	0.36	0.63	0.63	1.00	1.00	1.00	1.00	0.00	0.13
facebook/react	10207	10201	Y	0.59	0.60	0.08	0.39	0.62	0.33	1.00	0.56	1.00	1.00	0.11
emberjs/ember.js	13226	13204	N(followup)	0.59	0.92	0.04	0.27	0.27	1.00	2.00	1.00	1.00	-1.00	0.65
angular/angular.js	8108	7902	Y	0.58	0.64	0.07	0.17	0.17	1.00	2.00	1.00	1.00	0.00	0.75
cocos2d/cocos2d-x	3502	3463	N	0.58	0.60	0.00	0.24	0.25	0.60	3.00	0.46	0.50	0.00	0.23
django/django	3818	1688	N(?)	0.57	0.75	0.00	0.31	0.14	0.39	7.00	0.20	0.28	-1.00	0.67
rails/rails	22427	21598	N	0.58	0.28	0.00	0.20	0.20	1.00	1.00	1.00	1.00	0.00	0.23
emberjs/ember.js	11583	11578	N	0.55	0.45	0.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.45
angular/angular.js	10684	7191	N(followup)	0.58	0.64	0.00	0.64	0.73	0.20	1.00	0.43	1.00	0.00	0.64
django/django	3084	3032	Y	0.58	0.67	0.00	0.85	1.00	0.20	1.00	0.35	1.00	0.00	0.67
django/django	8208	5814	N	0.58	0.38	0.00	0.54	0.59	0.29	4.00	0.44	0.74	0.00	0.52
joomla/joomla-cms	681	679	Y	0.59	0.45	0.00	0.78	0.78	1.00	1.00	1.00	1.00	0.00	0.44
facebook/react	9271	9269	N	0.59	0.55	0.35	0.35	0.12	0.33	2.00	0.27	1.00	1.00	0.44
hashicorp/terraform	8671	5304	N	0.58	0.72	0.71	0.48	0.48	0.75	3.00	0.67	0.72	-1.00	0.50
ceph/ceph	2587	1644	Y	0.58	0.56	0.22	0.56	0.67	0.38	3.00	0.44	0.73	0.00	0.49
angular/angular.js	2545	2169	N	0.58	0.50	0.29	0.33	0.54	0.60	6.00	0.68	0.98	0.00	0.46
django/django	6426	6085	Y	0.60	0.58	0.03	0.27	0.28	0.67	2.00	0.64	0.69	1.00	0.61
joomla/joomla-cms	3432	3093	Y	0.59	0.45	0.32	0.33	0.33	1.00	1.00	1.00	1.00	0.00	0.39
joomla/joomla-cms	11184	8563	Y(?)	0.59	0.44	0.41	0.30	0.30	1.00	1.00	1.00	1.00	-1.00	0.12
emberjs/ember.js	13365	12737	Y	0.59	0.40	0.34	0.36	0.36	1.00	1.00	1.00	1.00	0.00	0.28
facebook/react	7854	6099	Y	0.58	0.42	0.47	0.78	0.82	0.85	23.00	0.65	0.76	0.00	0.49
django/django	3995	1023	N	0.58	0.55	0.00	0.25	0.25	1.00	2.00	0.65	0.65	0.00	0.49
angular/angular.js	9712	2896	N(followup)	0.57	0.45	0.00	0.08	0.08	1.00	1.00	0.88	0.88	0.00	0.23
elastic/elasticsearch	25397	22579	Y	0.59	0.74	0.47	0.40	0.51	0.14	2.00	0.21	0.60	1.00	0.26
django/django	5162	4749	Y	0.59	0.59	0.21	0.25	0.23	0.17	1.00	0.15	0.36	1.00	0.50
ansible/ansible	40839	15481	N(followup)	0.59	0.41	0.27	0.23	0.00	0.50	1.00	0.87	1.00	0.00	0.55
ansible/ansible	16841	16824	Y(?)	0.60	0.47	0.61	0.39	0.47	0.50	1.00	0.44	0.57	1.00	0.73
facebook/react	10255	6673	N	0.59	0.56	0.02	0.29	0.29	1.00	1.00	1.00	1.00	0.00	0.56
django/django	6713	4872	N	0.57	0.64	0.00	0.54	0.32	0.08	1.00	0.10	1.00	-1.00	0.54
ansible/ansible	19938	19866	Y	0.59	0.44	0.38	0.45	0.45	1.00	1.00	0.88	0.88	0.00	0.21
cocos2d/cocos2d-x	11205	11202	N	0.57	0.64	0.00	0.36	0.19	0.20	4.00	0.22	0.42	0.00	0.44
rails/rails	14067	11183	N(?)	0.59	0.69	0.21	0.53	0.53	1.00	2.00	0.65	0.65	0.00	0.30
angular/angular.js	15983	15971	N	0.59	0.62	0.64	0.58	0.58	1.00	2.00	0.68	0.68	-1.00	0.42
docker/docker	6590	6314	N	0.57	0.43	0.18	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.24
angular/angular.js	7915	5798	N	0.55	0.16	0.16	1.00	1.00	1.00	1.00	0.67	0.67	0.00	0.44
joomla/joomla-cms	8768	8350	Y	0.59	0.73	0.63	0.81	0.83	0.50	2.00	0.79	0.91	0.00	0.29
ceph/ceph	21844	21593	Y	0.55	0.96	0.39	1.00	1.00	1.00	1.00	0.00	0.00	-1.00	0.92
dotnet/corefx	4509	4499	Y	0.55	0.84	1.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00	1.00
elastic/elasticsearch	28249	26188	Y	0.55	0.85	0.22	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.49
django/django	5605	1477	N(?)	0.59	0.56	0.05	0.66	0.65	0.25	2.00	0.34	0.47	1.00	0.54
joomla/joomla-cms	18137	18134	N	0.58	0.58	0.42	0.14	0.14	1.00	1.00	1.00	1.00	-1.00	0.25
dotnet/corefx	6975	6974	Y	0.53	0.00	0.00	1.00	1.00	0.14	1.00	0.02	1.00	0.00	0.23
dotnet/corefx	23094	18688	N	0.59	0.84	0.00	0.00	0.00	1.00	2.00	1.00	1.00	0.00	0.85
dotnet/corefx	24506	18688	N	0.59	0.70	0.00	0.00	0.00	1.00	2.00	1.00	1.00	0.00	0.72
dotnet/corefx	21844	18688	N	0.59	0.70	0.00	0.00	0.00	1.00	2.00	1.00	1.00	0.00	0.71
dotnet/corefx	11914	10996	N	0.59	1.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.83
cocos2d/cocos2d-x	14118	9247	N	0.59	0.81	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.77
cocos2d/cocos2d-x	15772	10915	N	0.59	0.58	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.49
cocos2d/cocos2d-x	9178	8596	N	0.59	0.74	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.74
cocos2d/cocos2d-x	16266	10915	N	0.59	0.58	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.58
cocos2d/cocos2d-x	13629	9247	N	0.59	0.90	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.77
docker/docker	4985	2906	N	0.59	0.68	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.72
docker/docker	13438	9724	N	0.59	0.74	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.82
dotnet/corefx	24301	21831	N	0.59	0.57	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.44
dotnet/corefx	10077	9557	N	0.59	0.65	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.65
dotnet/corefx	21858	21831	N	0.59	0.94	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.73
angular/angular.js	15431	4936	N	0.59	0.57	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.44
angular/angular.js	10130	1691	N	0.59	0.61	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.42
angular/angular.js	12052	11584	N	0.59	0.62	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.51
angular/angular.js	13226	2896	N	0.59	0.61	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.61
angular/angular.js	6790	5187	N	0.59	1.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.62
angular/angular.js	11285	9741	N	0.59	0.80	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.51
angular/angular.js	14755	9844	N	0.59	0.63	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.30
angular/angular.js	4658	4615	Y	0.59	0.58	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.29
angular/angular.js	10842	9601	Y	0.58	0.64	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.03
angular/angular.js	11758	2179	N	0.59	0.62	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.52
angular/angular.js	8096	7944	Y(?)	0.59	0.69	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.46
cocos2d/cocos2d-x	9148	5684	N	0.59	0.70	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.70
cocos2d/cocos2d-x	4969	4942	N	0.59	1.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	1.00
cocos2d/cocos2d-x	15958	9247	N	0.59	0.61	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.42
cocos2d/cocos2d-x	11065	9247	N	0.59	0.81	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.77
django/django	9273	8497	Y	0.59	0.91	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	1.00
emberjs/ember.js	10444	10351	N	0.59	0.75	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.75
facebook/react	3098	3028	Y	0.59	1.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.86
emberjs/ember.js	413	365	Y	0.58	0.50	0.00	0.70	0.70	1.00	2.00	0.22	0.22	0.00	0.50
emberjs/ember.js	12916	243	N	0.58	0.57	0.00	0.11	0.11	1.00	1.00	0.88	0.88	0.00	0.57
angular/angular.js	14439	13711	N	0.58	0.48	0.00	0.36	0.36	0.67	2.00	0.83	0.93	-1.00	0.42
ansible/ansible	32654	31320	N(?)	0.56	0.43	0.27	0.26	0.26	1.00	2.00	0.52	0.52	0.00	0.13
