,,,,,title,desc,code,file_list,location,pattern,,
laravel/framework,20410,19057,1,N(similiar),0.9223,0.3097,0.5754,1,0.5982,0,https://www.github.com/laravel/framework/pull/20410,https://www.github.com/laravel/framework/pull/19057
laravel/framework,21471,14090,1,N(?),0.4003,0.4113,0.7865,0.6667,0.4912,0,https://www.github.com/laravel/framework/pull/21471,https://www.github.com/laravel/framework/pull/14090
laravel/framework,21902,18997,1,N,0.761,0.2927,0.61,0.5,0.8898,0,https://www.github.com/laravel/framework/pull/21902,https://www.github.com/laravel/framework/pull/18997
laravel/framework,22057,17451,1,Y,0.7911,0.7159,0.5788,1,0.5,0,https://www.github.com/laravel/framework/pull/22057,https://www.github.com/laravel/framework/pull/17451
laravel/framework,22292,21482,1,N(similiar),0.9027,0,0,1,1,0,https://www.github.com/laravel/framework/pull/22292,https://www.github.com/laravel/framework/pull/21482
laravel/framework,22339,17844,1,Y,0.7055,0.7689,0.6701,1,0.17,0,https://www.github.com/laravel/framework/pull/22339,https://www.github.com/laravel/framework/pull/17844
laravel/framework,24173,19489,1,N,0.3466,0.1699,1,0.25,1,0,https://www.github.com/laravel/framework/pull/24173,https://www.github.com/laravel/framework/pull/19489
laravel/framework,24400,24399,1,C,1,0.5326,0.7071,0.3333,1,-1,https://www.github.com/laravel/framework/pull/24400,https://www.github.com/laravel/framework/pull/24399
laravel/framework,24536,22339,1,N,0.6902,0.5221,0.2688,1,0,1,https://www.github.com/laravel/framework/pull/24536,https://www.github.com/laravel/framework/pull/22339
laravel/framework,16581,15660,0.9975,N/A,1,0,0,1,0,0,https://www.github.com/laravel/framework/pull/16581,https://www.github.com/laravel/framework/pull/15660
laravel/framework,5815,4456,0.9974,N/A,0.6062,0,0,1,1,0,https://www.github.com/laravel/framework/pull/5815,https://www.github.com/laravel/framework/pull/4456
laravel/framework,4907,2176,0.9971,N/A,0.3301,0,0.4532,1,0.9842,0,https://www.github.com/laravel/framework/pull/4907,https://www.github.com/laravel/framework/pull/2176
laravel/framework,8632,1886,0.9971,N/A,0.4764,0.2964,0,1,1,0,https://www.github.com/laravel/framework/pull/8632,https://www.github.com/laravel/framework/pull/1886
laravel/framework,24149,3791,0.997,N/A,0.4764,0.1876,0.6932,1,0,0,https://www.github.com/laravel/framework/pull/24149,https://www.github.com/laravel/framework/pull/3791
laravel/framework,17048,7603,0.9965,N/A,0.6978,0,0,0.7073,0.993,0,https://www.github.com/laravel/framework/pull/17048,https://www.github.com/laravel/framework/pull/7603
laravel/framework,11656,9686,0.9964,N/A,0,0,1,1,1,0,https://www.github.com/laravel/framework/pull/11656,https://www.github.com/laravel/framework/pull/9686
laravel/framework,19202,212,0.9962,N/A,0.4066,0.5683,0.8134,0.5,0,0,https://www.github.com/laravel/framework/pull/19202,https://www.github.com/laravel/framework/pull/212
laravel/framework,24417,20751,0.9962,N/A,0.3959,0.4156,0,1,1,0,https://www.github.com/laravel/framework/pull/24417,https://www.github.com/laravel/framework/pull/20751
laravel/framework,6026,1094,0.9961,N/A,0.4603,0.0083,1,0.5,0,0,https://www.github.com/laravel/framework/pull/6026,https://www.github.com/laravel/framework/pull/1094
laravel/framework,21157,13603,0.996,N/A,0.5372,0.0358,0.6131,1,0,0,https://www.github.com/laravel/framework/pull/21157,https://www.github.com/laravel/framework/pull/13603
laravel/framework,5268,2567,0.9959,N/A,0.507,0.4254,0.4297,1,0,0,https://www.github.com/laravel/framework/pull/5268,https://www.github.com/laravel/framework/pull/2567
laravel/framework,4447,2986,0.9958,N/A,0.5793,-0.0064,0,1,1,-1,https://www.github.com/laravel/framework/pull/4447,https://www.github.com/laravel/framework/pull/2986
laravel/framework,12550,3456,0.9957,N/A,0.3945,0.235,0.717,1,0,0,https://www.github.com/laravel/framework/pull/12550,https://www.github.com/laravel/framework/pull/3456
laravel/framework,22006,21892,0.9955,N/A,1,1,0,0,0,0,https://www.github.com/laravel/framework/pull/22006,https://www.github.com/laravel/framework/pull/21892
laravel/framework,15633,11384,0.9954,N/A,0.5936,0.097,0.4447,1,0,0,https://www.github.com/laravel/framework/pull/15633,https://www.github.com/laravel/framework/pull/11384
laravel/framework,15874,8905,0.9954,N/A,0.2781,0,0.5976,1,0.6508,0,https://www.github.com/laravel/framework/pull/15874,https://www.github.com/laravel/framework/pull/8905
laravel/framework,19106,16239,0.9952,N/A,0.2188,0.4011,0.6901,1,0.2653,0,https://www.github.com/laravel/framework/pull/19106,https://www.github.com/laravel/framework/pull/16239
laravel/framework,17729,16519,0.995,N/A,0.6342,0,0,1,0.6087,0,https://www.github.com/laravel/framework/pull/17729,https://www.github.com/laravel/framework/pull/16519
laravel/framework,21670,7056,0.995,N/A,0.515,0,0,1,1,0,https://www.github.com/laravel/framework/pull/21670,https://www.github.com/laravel/framework/pull/7056
laravel/framework,4150,2941,0.9949,N/A,0.4757,0.3071,0.4942,1,0,0,https://www.github.com/laravel/framework/pull/4150,https://www.github.com/laravel/framework/pull/2941
laravel/framework,13224,12370,0.9947,N/A,0.6212,0.6606,0.4903,0.25,0,0,https://www.github.com/laravel/framework/pull/13224,https://www.github.com/laravel/framework/pull/12370
laravel/framework,23251,23065,0.9937,N/A,0.0123,-0.0015,0.9974,0.7727,1,0,https://www.github.com/laravel/framework/pull/23251,https://www.github.com/laravel/framework/pull/23065
laravel/framework,16605,13091,0.9935,N/A,0.2808,0.2965,0.8205,0.5,0.3444,0,https://www.github.com/laravel/framework/pull/16605,https://www.github.com/laravel/framework/pull/13091
laravel/framework,23151,9174,0.9931,N/A,0.2962,0.4799,0,1,1,0,https://www.github.com/laravel/framework/pull/23151,https://www.github.com/laravel/framework/pull/9174
laravel/framework,11678,8055,0.9926,N/A,0.2627,0.1411,0.2458,1,1,0,https://www.github.com/laravel/framework/pull/11678,https://www.github.com/laravel/framework/pull/8055
laravel/framework,8351,6418,0.9925,N/A,0.9153,0.2102,0,0.0038,0.6235,0,https://www.github.com/laravel/framework/pull/8351,https://www.github.com/laravel/framework/pull/6418
laravel/framework,3072,1627,0.9914,N/A,0.4041,-0.0003,0.6709,1,0,0,https://www.github.com/laravel/framework/pull/3072,https://www.github.com/laravel/framework/pull/1627
laravel/framework,14076,8580,0.9909,N/A,0.3007,0.244,0.0654,1,1,0,https://www.github.com/laravel/framework/pull/14076,https://www.github.com/laravel/framework/pull/8580
laravel/framework,20548,20287,0.9908,N/A,0.4812,0.1582,0.2132,0.5,1,0,https://www.github.com/laravel/framework/pull/20548,https://www.github.com/laravel/framework/pull/20287
laravel/framework,22011,5919,0.9908,N/A,0.5892,0.3606,0.3019,0.6667,0,0,https://www.github.com/laravel/framework/pull/22011,https://www.github.com/laravel/framework/pull/5919
laravel/framework,9815,111,0.9907,N/A,0.6156,0.2124,0.1741,1,0,0,https://www.github.com/laravel/framework/pull/9815,https://www.github.com/laravel/framework/pull/111
laravel/framework,13972,11316,0.9906,N/A,0.8087,-0.0266,0,1,0,0,https://www.github.com/laravel/framework/pull/13972,https://www.github.com/laravel/framework/pull/11316
laravel/framework,15691,15656,0.9893,N/A,0.0607,0.1736,0.4859,1,1,0,https://www.github.com/laravel/framework/pull/15691,https://www.github.com/laravel/framework/pull/15656
laravel/framework,9253,4524,0.9889,N/A,0.541,0,0.3892,0.3333,0.72,0,https://www.github.com/laravel/framework/pull/9253,https://www.github.com/laravel/framework/pull/4524
laravel/framework,17009,1310,0.9883,N/A,0.3229,0.2316,0.3307,1,0.3761,0,https://www.github.com/laravel/framework/pull/17009,https://www.github.com/laravel/framework/pull/1310
laravel/framework,16603,13204,0.9882,N/A,0.1228,0.1325,0.3817,1,1,0,https://www.github.com/laravel/framework/pull/16603,https://www.github.com/laravel/framework/pull/13204
laravel/framework,20264,10130,0.9879,N/A,0.5726,-0.0345,0.3342,1,0,0,https://www.github.com/laravel/framework/pull/20264,https://www.github.com/laravel/framework/pull/10130
laravel/framework,21038,4743,0.9878,N/A,0.7806,0.0488,0.1742,0.5,0,0,https://www.github.com/laravel/framework/pull/21038,https://www.github.com/laravel/framework/pull/4743
laravel/framework,10951,10949,0.9875,N/A,0.0303,0,0.9976,0.5185,1,0,https://www.github.com/laravel/framework/pull/10951,https://www.github.com/laravel/framework/pull/10949
laravel/framework,14389,9302,0.9858,N/A,0.2932,0.4658,0.8321,0.3333,0,0,https://www.github.com/laravel/framework/pull/14389,https://www.github.com/laravel/framework/pull/9302
laravel/framework,17493,17176,0.9849,N/A,0.3729,0.1171,0.1564,1,0.5435,0,https://www.github.com/laravel/framework/pull/17493,https://www.github.com/laravel/framework/pull/17176
laravel/framework,2643,1394,0.9846,N/A,0.4454,0.0954,0.7371,0.3333,0,0,https://www.github.com/laravel/framework/pull/2643,https://www.github.com/laravel/framework/pull/1394
laravel/framework,15823,13728,0.9843,N/A,0.4065,0.3689,0.4722,0.125,0.8333,0,https://www.github.com/laravel/framework/pull/15823,https://www.github.com/laravel/framework/pull/13728
laravel/framework,3805,338,0.9842,N/A,0.399,0.4644,0.5425,0.5,0,0,https://www.github.com/laravel/framework/pull/3805,https://www.github.com/laravel/framework/pull/338
laravel/framework,17708,11001,0.9838,N/A,0.2685,0.2799,0.8317,0.5,0,0,https://www.github.com/laravel/framework/pull/17708,https://www.github.com/laravel/framework/pull/11001
laravel/framework,1839,577,0.9826,N/A,0.2655,0.2104,0,1,1,0,https://www.github.com/laravel/framework/pull/1839,https://www.github.com/laravel/framework/pull/577
laravel/framework,5681,5658,0.9826,N/A,-0.004,0.0134,0.6716,0.9172,0.948,0,https://www.github.com/laravel/framework/pull/5681,https://www.github.com/laravel/framework/pull/5658
laravel/framework,8342,8239,0.982,N/A,0.2018,0.0216,0.99,0.2,0.5373,0,https://www.github.com/laravel/framework/pull/8342,https://www.github.com/laravel/framework/pull/8239
laravel/framework,6853,5518,0.9809,N/A,0.4606,0.0084,0,1,0.5849,0,https://www.github.com/laravel/framework/pull/6853,https://www.github.com/laravel/framework/pull/5518
laravel/framework,5251,1909,0.9803,N/A,0.6637,0.3288,0.1183,0.5,0,0,https://www.github.com/laravel/framework/pull/5251,https://www.github.com/laravel/framework/pull/1909
laravel/framework,20975,17378,0.9797,N/A,0.1959,0.1667,0.112,1,1,0,https://www.github.com/laravel/framework/pull/20975,https://www.github.com/laravel/framework/pull/17378
laravel/framework,15561,5745,0.9794,N/A,0.4283,0.2198,0.2981,1,0,0,https://www.github.com/laravel/framework/pull/15561,https://www.github.com/laravel/framework/pull/5745
laravel/framework,22165,18108,0.9786,N/A,0.4024,0.1116,0,1,0.5976,0,https://www.github.com/laravel/framework/pull/22165,https://www.github.com/laravel/framework/pull/18108
laravel/framework,11824,9736,0.9783,N/A,0.4773,0.6195,0,1,0,0,https://www.github.com/laravel/framework/pull/11824,https://www.github.com/laravel/framework/pull/9736
laravel/framework,9065,199,0.9778,N/A,0.7704,0,0.0857,0.5,0,0,https://www.github.com/laravel/framework/pull/9065,https://www.github.com/laravel/framework/pull/199
laravel/framework,3997,3571,0.9772,N/A,0.2713,0.3786,0.5444,0.25,0.7407,0,https://www.github.com/laravel/framework/pull/3997,https://www.github.com/laravel/framework/pull/3571
laravel/framework,15543,14754,0.9764,N/A,0.4474,0.2759,0,0.5,1,0,https://www.github.com/laravel/framework/pull/15543,https://www.github.com/laravel/framework/pull/14754
laravel/framework,10434,7422,0.9743,N/A,0.3415,0.2399,0.3796,1,0,0,https://www.github.com/laravel/framework/pull/10434,https://www.github.com/laravel/framework/pull/7422
laravel/framework,11076,4351,0.9741,N/A,0.4,0,0.4984,0.4583,0.3797,0,https://www.github.com/laravel/framework/pull/11076,https://www.github.com/laravel/framework/pull/4351
laravel/framework,9435,4608,0.969,N/A,0.438,0.0429,0.5904,0.4,0,0,https://www.github.com/laravel/framework/pull/9435,https://www.github.com/laravel/framework/pull/4608
laravel/framework,12961,11342,0.9686,N/A,0.4761,0.3363,0.328,0.5,0,0,https://www.github.com/laravel/framework/pull/12961,https://www.github.com/laravel/framework/pull/11342
laravel/framework,15187,14723,0.968,N/A,0.1531,0,1,0.5,0,0,https://www.github.com/laravel/framework/pull/15187,https://www.github.com/laravel/framework/pull/14723
laravel/framework,18117,13305,0.9649,N/A,0.4035,0.2498,0.2024,1,0,0,https://www.github.com/laravel/framework/pull/18117,https://www.github.com/laravel/framework/pull/13305
laravel/framework,17395,10130,0.964,N/A,0.3818,0.1306,0.5527,0.5,0,0,https://www.github.com/laravel/framework/pull/17395,https://www.github.com/laravel/framework/pull/10130
laravel/framework,23379,20667,0.9625,N/A,0.6426,0.0286,0,0.1429,1,0,https://www.github.com/laravel/framework/pull/23379,https://www.github.com/laravel/framework/pull/20667
laravel/framework,23876,22339,0.9615,N/A,0.2943,0.4257,0.1766,0.1667,0,1,https://www.github.com/laravel/framework/pull/23876,https://www.github.com/laravel/framework/pull/22339
laravel/framework,11921,739,0.9562,N/A,0.5106,0.2886,0.2237,0.5,0,0,https://www.github.com/laravel/framework/pull/11921,https://www.github.com/laravel/framework/pull/739
laravel/framework,14629,98,0.9555,N/A,0.8316,0.1934,0,0,0,0,https://www.github.com/laravel/framework/pull/14629,https://www.github.com/laravel/framework/pull/98
laravel/framework,2948,1443,0.9509,N/A,0.3721,0,0.3747,0.5,0.4086,0,https://www.github.com/laravel/framework/pull/2948,https://www.github.com/laravel/framework/pull/1443
laravel/framework,10155,3615,0.9484,N/A,0.2703,0.2494,0.3335,1,0,0,https://www.github.com/laravel/framework/pull/10155,https://www.github.com/laravel/framework/pull/3615
laravel/framework,17068,14884,0.9443,N/A,0.8609,-0.0177,0,0,0,0,https://www.github.com/laravel/framework/pull/17068,https://www.github.com/laravel/framework/pull/14884
laravel/framework,5741,3532,0.9437,N/A,0.1075,0.1386,0.6024,0.3333,1,0,https://www.github.com/laravel/framework/pull/5741,https://www.github.com/laravel/framework/pull/3532
laravel/framework,24282,2489,0.9398,N/A,0.214,0.1241,0.7097,0.5,0,0,https://www.github.com/laravel/framework/pull/24282,https://www.github.com/laravel/framework/pull/2489
laravel/framework,2640,2038,0.9363,N/A,0.0084,0.0374,1,0.0426,1,0,https://www.github.com/laravel/framework/pull/2640,https://www.github.com/laravel/framework/pull/2038
laravel/framework,17254,4046,0.9332,N/A,0.6095,0.6484,0,0.1667,0,0,https://www.github.com/laravel/framework/pull/17254,https://www.github.com/laravel/framework/pull/4046
laravel/framework,16013,8027,0.93,N/A,0.259,0.176,0,1,0.5,0,https://www.github.com/laravel/framework/pull/16013,https://www.github.com/laravel/framework/pull/8027
laravel/framework,13293,10458,0.9296,N/A,0.824,0,0,0,0,0,https://www.github.com/laravel/framework/pull/13293,https://www.github.com/laravel/framework/pull/10458
laravel/framework,21495,6941,0.9142,N/A,0.6174,0,0,0.0266,0.8718,0,https://www.github.com/laravel/framework/pull/21495,https://www.github.com/laravel/framework/pull/6941
laravel/framework,10797,9627,0.9129,N/A,0.7949,0.0003,0,0,0,0,https://www.github.com/laravel/framework/pull/10797,https://www.github.com/laravel/framework/pull/9627
laravel/framework,18235,6466,0.9096,N/A,0.2876,0.3032,0.4005,0.0019,1,-1,https://www.github.com/laravel/framework/pull/18235,https://www.github.com/laravel/framework/pull/6466
laravel/framework,15233,4704,0.9087,N/A,0.6368,0.6004,0,0,0,0,https://www.github.com/laravel/framework/pull/15233,https://www.github.com/laravel/framework/pull/4704
laravel/framework,23775,6658,0.9066,N/A,0.4796,0.2484,0,0.1667,0.8113,0,https://www.github.com/laravel/framework/pull/23775,https://www.github.com/laravel/framework/pull/6658
laravel/framework,21486,717,0.8989,N/A,0.6059,0.3276,0,0.25,0,0,https://www.github.com/laravel/framework/pull/21486,https://www.github.com/laravel/framework/pull/717
laravel/framework,13018,8874,0.8957,N/A,0.7575,0.0465,0,0,0,0,https://www.github.com/laravel/framework/pull/13018,https://www.github.com/laravel/framework/pull/8874
laravel/framework,9797,6692,0.891,N/A,0.4508,0,0,1,0,0,https://www.github.com/laravel/framework/pull/9797,https://www.github.com/laravel/framework/pull/6692
laravel/framework,24171,22077,0.8868,N/A,0.3723,0.6136,0.1139,0.2,0.3676,0,https://www.github.com/laravel/framework/pull/24171,https://www.github.com/laravel/framework/pull/22077
laravel/framework,5231,553,0.8819,N/A,0.703,0.1858,0,0,0,0,https://www.github.com/laravel/framework/pull/5231,https://www.github.com/laravel/framework/pull/553
laravel/framework,13049,4278,0.8819,N/A,0.6082,0,0.1581,0.026,0.2131,0,https://www.github.com/laravel/framework/pull/13049,https://www.github.com/laravel/framework/pull/4278
laravel/framework,18501,3930,0.8801,N/A,0.6685,0.3119,0,0,0,0,https://www.github.com/laravel/framework/pull/18501,https://www.github.com/laravel/framework/pull/3930
laravel/framework,23685,13166,0.8758,N/A,0.1475,0.2466,0.4282,0.5,0.4044,-1,https://www.github.com/laravel/framework/pull/23685,https://www.github.com/laravel/framework/pull/13166
laravel/framework,21756,21523,0.863,N/A,0.6011,0.5131,0,0,0,0,https://www.github.com/laravel/framework/pull/21756,https://www.github.com/laravel/framework/pull/21523
laravel/framework,1876,1525,0.8483,N/A,0.1208,0.031,0.2887,0.5,1,0,https://www.github.com/laravel/framework/pull/1876,https://www.github.com/laravel/framework/pull/1525
laravel/framework,7922,1954,0.8453,N/A,0.3764,0.0657,0,1,0,0,https://www.github.com/laravel/framework/pull/7922,https://www.github.com/laravel/framework/pull/1954
laravel/framework,21099,20432,0.8411,N/A,0.1635,0,0.607,0.0018,1,0,https://www.github.com/laravel/framework/pull/21099,https://www.github.com/laravel/framework/pull/20432
laravel/framework,9544,3429,0.8378,N/A,0.7085,0,0,0,0,0,https://www.github.com/laravel/framework/pull/9544,https://www.github.com/laravel/framework/pull/3429
laravel/framework,6038,163,0.8373,N/A,0.6684,0.1476,0,0,0,0,https://www.github.com/laravel/framework/pull/6038,https://www.github.com/laravel/framework/pull/163
laravel/framework,14300,4661,0.8322,N/A,0.7036,0,0,0,0,0,https://www.github.com/laravel/framework/pull/14300,https://www.github.com/laravel/framework/pull/4661
laravel/framework,18486,831,0.8255,N/A,0.0091,0.03,0,1,1,0,https://www.github.com/laravel/framework/pull/18486,https://www.github.com/laravel/framework/pull/831
laravel/framework,10786,7358,0.8244,N/A,0.1658,-0.0174,0,1,0.5938,0,https://www.github.com/laravel/framework/pull/10786,https://www.github.com/laravel/framework/pull/7358
laravel/framework,13522,6369,0.8233,N/A,0.6218,0.2821,0,0,0,0,https://www.github.com/laravel/framework/pull/13522,https://www.github.com/laravel/framework/pull/6369
laravel/framework,19468,18753,0.8157,N/A,0.2584,0.3902,0.2462,0.0769,0.7447,0,https://www.github.com/laravel/framework/pull/19468,https://www.github.com/laravel/framework/pull/18753
laravel/framework,23764,21206,0.8132,N/A,0.3112,0.2523,0.3852,0.25,0,0,https://www.github.com/laravel/framework/pull/23764,https://www.github.com/laravel/framework/pull/21206
laravel/framework,6270,4632,0.809,N/A,0.4936,0,0,0.0146,1,0,https://www.github.com/laravel/framework/pull/6270,https://www.github.com/laravel/framework/pull/4632
laravel/framework,18817,13505,0.7956,N/A,0.6066,0.2584,0,0,0,0,https://www.github.com/laravel/framework/pull/18817,https://www.github.com/laravel/framework/pull/13505
laravel/framework,5598,2987,0.7895,N/A,0.7334,0.0067,0,0,0,-1,https://www.github.com/laravel/framework/pull/5598,https://www.github.com/laravel/framework/pull/2987
laravel/framework,3858,528,0.7811,N/A,-0.0119,-0.0131,0,1,1,0,https://www.github.com/laravel/framework/pull/3858,https://www.github.com/laravel/framework/pull/528
laravel/framework,10722,4405,0.7436,N/A,0.264,-0.0025,0.1231,0.2,1,-1,https://www.github.com/laravel/framework/pull/10722,https://www.github.com/laravel/framework/pull/4405
laravel/framework,8974,7471,0.741,N/A,-0.0033,0,0,0.9355,0.9814,0,https://www.github.com/laravel/framework/pull/8974,https://www.github.com/laravel/framework/pull/7471
laravel/framework,21814,12119,0.7248,N/A,0.628,0,0,0,0,0,https://www.github.com/laravel/framework/pull/21814,https://www.github.com/laravel/framework/pull/12119
laravel/framework,4922,4759,0.7192,N/A,0.6247,0,0,0,0,0,https://www.github.com/laravel/framework/pull/4922,https://www.github.com/laravel/framework/pull/4759
laravel/framework,4491,4278,0.7172,N/A,0.6093,0.0464,0,0.0068,0,0,https://www.github.com/laravel/framework/pull/4491,https://www.github.com/laravel/framework/pull/4278
laravel/framework,4494,4278,0.7172,N/A,0.6093,0.0464,0,0.0068,0,0,https://www.github.com/laravel/framework/pull/4494,https://www.github.com/laravel/framework/pull/4278
laravel/framework,9058,5685,0.7121,N/A,0.5464,0.2857,0,0,0,0,https://www.github.com/laravel/framework/pull/9058,https://www.github.com/laravel/framework/pull/5685
laravel/framework,2447,2281,0.6936,N/A,0.2627,0.0132,0.2718,0.0071,1,0,https://www.github.com/laravel/framework/pull/2447,https://www.github.com/laravel/framework/pull/2281
laravel/framework,19487,18408,0.6765,N/A,0,0.1072,0,1,0.6444,0,https://www.github.com/laravel/framework/pull/19487,https://www.github.com/laravel/framework/pull/18408
laravel/framework,10137,2088,0.6757,N/A,0.5843,0.061,0,0,0,0,https://www.github.com/laravel/framework/pull/10137,https://www.github.com/laravel/framework/pull/2088
laravel/framework,5922,902,0.6672,N/A,0.2195,0.0342,0.297,0.1667,0.6667,0,https://www.github.com/laravel/framework/pull/5922,https://www.github.com/laravel/framework/pull/902
laravel/framework,17452,16176,0.6435,N/A,0.5792,0.3359,0,0,0,-1,https://www.github.com/laravel/framework/pull/17452,https://www.github.com/laravel/framework/pull/16176
laravel/framework,3175,1458,0.6433,N/A,0.5462,0.1359,0,0,0,0,https://www.github.com/laravel/framework/pull/3175,https://www.github.com/laravel/framework/pull/1458
laravel/framework,14700,12622,0.6354,N/A,0.5372,0.1568,0,0,0,0,https://www.github.com/laravel/framework/pull/14700,https://www.github.com/laravel/framework/pull/12622
laravel/framework,10472,6404,0.6179,N/A,0.5697,0,0,0,0,0,https://www.github.com/laravel/framework/pull/10472,https://www.github.com/laravel/framework/pull/6404
laravel/framework,11733,6684,0.6043,N/A,0.5212,0.1626,0,0,0,0,https://www.github.com/laravel/framework/pull/11733,https://www.github.com/laravel/framework/pull/6684
laravel/framework,6079,4651,0.5753,N/A,0.2227,-0.0093,0,1,0,0,https://www.github.com/laravel/framework/pull/6079,https://www.github.com/laravel/framework/pull/4651
laravel/framework,23480,21437,0.5409,N/A,0,0,0.5171,0.0714,1,0,https://www.github.com/laravel/framework/pull/23480,https://www.github.com/laravel/framework/pull/21437
laravel/framework,17047,16796,0.5392,N/A,0.0595,0.0161,0,1,0.3714,0,https://www.github.com/laravel/framework/pull/17047,https://www.github.com/laravel/framework/pull/16796
laravel/framework,11309,5197,0.5108,N/A,0.4795,0.1554,0,0,0,0,https://www.github.com/laravel/framework/pull/11309,https://www.github.com/laravel/framework/pull/5197
laravel/framework,2764,1923,0.5,N/A,0.5045,0.0334,0,0,0,0,https://www.github.com/laravel/framework/pull/2764,https://www.github.com/laravel/framework/pull/1923
laravel/framework,5427,4956,0.4647,N/A,0.498,0,0,0,0,0,https://www.github.com/laravel/framework/pull/5427,https://www.github.com/laravel/framework/pull/4956
laravel/framework,21167,2876,0.4637,N/A,0.4975,0,0,0,0,0,https://www.github.com/laravel/framework/pull/21167,https://www.github.com/laravel/framework/pull/2876
laravel/framework,22597,14562,0.4596,N/A,0.4956,0,0,0,0,0,https://www.github.com/laravel/framework/pull/22597,https://www.github.com/laravel/framework/pull/14562
