JuliaLang/julia 10525 11244 [9607, 9534, 5902, 10768, 9876, 8253, 6998, 6776, 6303, 2687, 2246, 464, 11239, 11090, 10828, 10337, 9685, 9670, 8647, 8281, 7900, 6976, 6456, 6326, 6084, 5444, 5299, 4794, 2977, 11229]
JuliaLang/julia 10835 13062 [2680, 10651, 7586, 12994, 3608, 11984, 4074, 7943, 11613, 7057, 2262, 8258, 5534, 12318, 6475, 4745, 6258, 7042, 2419, 7173, 9455, 5968, 6727, 8776, 10053, 5381, 10049, 7973, 12440, 9792]
JuliaLang/julia 12986 13378 [12951, 12885, 10243, 10144, 9097, 8489, 8304, 12929, 12986, 13041, 13330, 12555, 7557, 5285, 3303, 3302, 1810, 1237, 12442, 7889, 12587, 10758, 12091, 8424, 12949, 12685, 10014, 12954, 2790, 12589]
JuliaLang/julia 11421 12130 [10061, 10492, 9878, 10494, 11124, 10483, 10081, 10071, 9852, 9853, 10515, 11421, 8588, 8791, 10626, 8987, 1402, 11896, 8013, 11796, 8793, 7424, 6492, 5421, 5170, 3692, 12114, 9933, 11061, 7550]
JuliaLang/julia 18658 18936 [18658, 17539, 17246, 17459, 9809, 17637, 4866, 17783, 17901, 16861, 18153, 9553, 11411, 10253, 18856, 17475, 8820, 17294, 17468, 17667, 15094, 18825, 17344, 9823, 9808, 9330, 8491, 8490, 2146, 17851]
JuliaLang/julia 16253 16255 [16125, 16250, 16005, 10984, 4765, 16253, 11672, 7980, 7559, 11528, 10911, 7474, 7935, 16123, 10691, 11741, 11895, 6085, 4738, 12567, 8796, 4704, 15860, 6741, 15227, 7934, 10269, 15198, 13803, 12033]
JuliaLang/julia 20047 20147 [6658, 5421, 5170, 12373, 17925, 20047, 6475, 4745, 16844, 16065, 14271, 13757, 11635, 9809, 3103, 16045, 9645, 7042, 11616, 17333, 9139, 9398, 19750, 15338, 14451, 11984, 16378, 16074, 15328, 18398]
JuliaLang/julia 11828 11906 [10864, 1614, 8957, 3666, 1739, 11055, 9211, 8173, 7856, 11061, 10933, 10300, 8503, 8181, 7929, 7716, 6905, 6588, 6358, 4889, 4757, 4464, 4024, 3968, 3692, 3539, 11836, 11224, 8691, 6143]
JuliaLang/julia 18125 18163 [16316, 13014, 16692, 15261, 17401, 14352, 11036, 16353, 15444, 12535, 11341, 13857, 9534, 15312, 17039, 15632, 16515, 16320, 17225, 13182, 17489, 7514, 5227, 16397, 15313, 9795, 3970, 12544, 14394, 15064]
JuliaLang/julia 20535 21140 [20535, 18294, 19019, 18447, 4997, 18688, 17361, 14790, 9808, 8491, 21138, 17180, 5266, 20597, 5114, 16504, 775, 18378, 15389, 12154, 11916, 8567, 6794, 17129, 13105, 11716, 465, 12548, 362, 14891]
JuliaLang/julia 14262 14328 [14262, 8003, 5015, 6455, 10517, 5012, 7881, 9266, 11114, 10306, 10123, 5073, 6492, 11741, 10069, 9792, 11896, 10508, 8770, 8362, 7350, 5421, 1402, 8333, 14058, 13910, 12849, 11883, 10929, 10049]
JuliaLang/julia 12147 12151 [12147, 6271, 11426, 8074, 3078, 9823, 9376, 5433, 5367, 9417, 10728, 6220, 8260, 5831, 11287, 1600, 8490, 10244, 5638, 11852, 4614, 11155, 11763, 8820, 7588, 6309, 6174, 5378, 4351, 8638]
JuliaLang/julia 11848 16915 [13716, 8223, 10054, 15833, 12274, 8420, 14775, 8521, 14759, 12901, 12331, 1119, 16561, 12688, 15588, 16065, 8562, 7881, 1686, 906, 15492, 11848, 12882, 16160, 14326, 12450, 12093, 13034, 10053, 7389]
JuliaLang/julia 12584 21184 [16954, 15458, 20429, 7992, 12408, 11131, 15198, 12217, 20071, 14601, 7064, 12570, 15192, 18846, 11989, 9196, 20214, 14310, 3071, 16288, 13049, 8629, 14125, 2664, 13093, 7544, 19670, 20187, 14508, 14506]
JuliaLang/julia 19856 19863 [19856, 7177, 7100, 18093, 17878, 12542, 9229, 9104, 3813, 18530, 17863, 16881, 13095, 12685, 11297, 9427, 7755, 2810, 16816, 13365, 13115, 11453, 10181, 6616, 6418, 2589, 2357, 484, 19778, 15793]
JuliaLang/julia 18973 19082 [11186, 12391, 12308, 748, 6746, 12377, 17229, 7143, 9050, 8734, 4125, 12591, 6572, 4489, 15003, 8077, 7518, 2459, 16213, 5991, 18978, 4553, 15154, 15660, 11401, 18366, 12754, 4794, 12013, 14890]
JuliaLang/julia 7108 8725 [6865, 7108, 5120, 8477, 6441, 8521, 6855, 7008, 6764, 6658, 6978, 4532, 5832, 8449, 6889, 3298, 2957, 4101, 5199, 1332, 8379, 6948, 3394, 7856, 7659, 7557, 4303, 3360, 2834, 7007]
JuliaLang/julia 20405 20408 [20405, 5643, 19541, 19808, 19612, 19325, 8863, 13860, 18188, 14353, 7118, 7040, 18830, 6999, 18381, 20336, 7013, 7038, 18973, 5257, 7674, 6998, 12831, 6552, 12563, 19247, 16217, 14307, 12406, 7017]
JuliaLang/julia 7108 8838 [6344, 8047, 6385, 8076, 6911, 7044, 8122, 6322, 7617, 3770, 4577, 5240, 4493, 4489, 6958, 5167, 2305, 8448, 3529, 3508, 3919, 3477, 2890, 7777, 8526, 6406, 6439, 5343, 5013, 3429]
JuliaLang/julia 10525 9607 [4306, 7308, 7249, 3861, 9150, 2455, 5529, 5710, 2670, 1849, 940, 4816, 4794, 7956, 5812, 5167, 820, 7777, 8028, 5240, 4493, 8448, 6958, 715, 2305, 6223, 2423, 9534, 9466, 5163]
JuliaLang/julia 13758 14063 [4125, 11055, 2777, 12331, 11984, 11616, 13758, 13090, 13420, 8562, 5186, 13419, 6146, 10112, 12180, 10932, 13107, 12565, 10984, 9734, 11773, 13997, 13034, 11626, 8658, 8282, 7016, 5651, 3452, 12450]
JuliaLang/julia 16215 16257 [16215, 12146, 16161, 15753, 9667, 5739, 2249, 15490, 3093, 11111, 11061, 10584, 10581, 6143, 5540, 3993, 14899, 13978, 12496, 11882, 9540, 9014, 6720, 2532, 2487, 2250, 13566, 11801, 7542, 16183]
JuliaLang/julia 18688 21299 [18447, 18294, 18688, 17454, 11489, 6220, 17325, 4997, 13501, 7518, 7124, 3625, 8074, 12548, 9376, 5567, 6737, 4159, 21140, 7464, 1690, 8345, 19486, 10994, 18357, 8880, 7160, 17064, 9251, 20185]
JuliaLang/julia 15212 16421 [15212, 10743, 14518, 9417, 8244, 11499, 12017, 14380, 14305, 10756, 13494, 4863, 6086, 1098, 13308, 10792, 7969, 6924, 13501, 6043, 10200, 6459, 10198, 1068, 1080, 13971, 9762, 6066, 3898, 12504]
JuliaLang/julia 6115 9065 [6115, 6014, 7644, 2070, 6111, 3808, 4845, 8401, 6015, 3008, 8648, 3194, 8420, 5431, 3779, 6110, 2317, 6217, 6583, 7055, 5741, 5578, 8563, 5555, 5444, 3442, 1416, 6326, 9057, 5403]
JuliaLang/julia 17870 17876 [17870, 15811, 15749, 17496, 16505, 17826, 17179, 14904, 17401, 15700, 16777, 16061, 15493, 17363, 15632, 15940, 16066, 16835, 16900, 17344, 11852, 11448, 14799, 15051, 14067, 8090, 7313, 3933, 1119, 14687]
JuliaLang/julia 15892 16080 [15892, 13642, 9351, 9356, 15928, 9487, 14304, 11901, 8152, 9462, 11432, 9281, 9446, 12424, 14783, 11576, 8623, 1402, 11896, 14058, 13910, 8013, 3692, 9983, 10543, 15560, 14328, 14129, 12885, 11796]
angular/angular.js 8177 8206 [8177, 8130, 5467, 5647, 2245, 3569, 6533, 6556, 2469, 3985, 3930, 1185, 5510, 4615, 826, 7820, 4924, 4263, 4081, 931, 863, 681, 2988, 5499, 7793, 7026, 4918, 3333, 8133, 3749]
angular/angular.js 12682 14635 [12835, 3927, 4217, 9522, 3489, 8055, 1028, 9727, 8839, 7759, 3437, 10296, 10231, 9590, 8799, 5310, 13828, 5372, 13928, 932, 1710, 12078, 7419, 5698, 5133, 4594, 6781, 2738, 2742, 7067]
angular/angular.js 1564 1602 [944, 1278, 1264, 964, 1399, 928, 1564, 521, 1347, 459, 1023, 1115, 602, 791, 1121, 1108, 525, 1328, 871, 572, 1188, 755, 588, 302, 1530, 958, 445, 841, 1242, 957]
angular/angular.js 2522 3025 [3010, 2510, 500, 2522, 1938, 284, 2202, 1939, 2117, 302, 624, 2878, 204, 1596, 275, 618, 2270, 111, 1863, 1710, 2728, 2587, 2316, 1529, 1028, 788, 484, 240, 233, 36]
angular/angular.js 3082 3197 [2992, 2083, 1514, 437, 2054, 948, 2130, 360, 2147, 2453, 2607, 364, 1045, 928, 2748, 2261, 2060, 1890, 1113, 3054, 453, 2778, 1921, 1547, 1677, 1996, 394, 3150, 1612, 1803]
angular/angular.js 5536 5976 [5536, 3693, 2223, 1855, 3697, 3476, 4501, 3670, 3044, 3220, 1967, 4380, 3536, 2452, 3524, 1993, 2523, 2406, 4632, 4165, 846, 5315, 3686, 3128, 2424, 5711, 2058, 3746, 3179, 4140]
angular/angular.js 3897 4021 [3897, 2529, 870, 3606, 867, 2503, 2523, 849, 2665, 1046, 3857, 1836, 1047, 3533, 1230, 1623, 3979, 2056, 3428, 1043, 2893, 303, 2731, 755, 625, 1835, 3203, 3202, 2704, 2725]
angular/angular.js 9478 9481 [4117, 9398, 4155, 3913, 5344, 2445, 6763, 6762, 4115, 8847, 3851, 9470, 2468, 1748, 193, 2129, 4119, 4004, 7868, 4932, 7758, 4118, 4116, 2786, 2511, 867, 438, 2545, 1326, 8837]
angular/angular.js 8130 8206 [8177, 8130, 5467, 5647, 2245, 3569, 6533, 6556, 2469, 3985, 3930, 1185, 5510, 4615, 826, 7820, 4924, 4263, 4081, 931, 863, 681, 2988, 5499, 7793, 7026, 4918, 3333, 8133, 3749]
angular/angular.js 2307 2362 [2307, 2254, 1655, 2073, 2212, 1748, 1324, 1494, 1042, 810, 779, 774, 755, 270, 240, 233, 870, 2147, 1406, 2342, 1188, 655, 949, 2130, 957, 867, 2229, 2208, 2202, 1089]
angular/angular.js 12307 12362 [11576, 7835, 3380, 2128, 11870, 8060, 511, 6383, 8962, 6840, 4858, 2584, 2418, 9013, 7702, 7589, 6175, 7401, 7638, 9990, 2718, 2707, 1026, 10289, 11825, 11730, 11545, 11351, 10964, 10886]
angular/angular.js 2835 3082 [2060, 1908, 2607, 2083, 1113, 2992, 1984, 1514, 2529, 965, 1888, 3051, 2835, 1996, 1677, 1607, 1921, 2130, 1547, 1211, 1593, 524, 764, 2288, 2054, 1612, 1672, 2378, 2202, 3054]
angular/angular.js 7776 7960 [4005, 5573, 3445, 3391, 4099, 518, 4779, 5605, 4897, 2598, 5540, 2380, 3446, 2312, 824, 7436, 4816, 2605, 3374, 2283, 2378, 293, 2331, 3313, 7937, 5774, 7425, 3379, 4894, 3618]
angular/angular.js 3697 3699 [1456, 3649, 3355, 3318, 3539, 2523, 3628, 3549, 1368, 3353, 3636, 3690, 2529, 1108, 1115, 1415, 3484, 3485, 2971, 2596, 958, 914, 3331, 2129, 2650, 949, 2223, 3294, 957, 3409]
angular/angular.js 12166 12933 [9630, 12297, 7880, 12166, 5050, 4874, 7773, 11829, 12465, 4868, 8087, 2958, 4787, 9364, 10088, 3846, 6191, 9729, 9353, 7147, 4498, 4497, 826, 5412, 11678, 1024, 6892, 3566, 11696, 7106]
angular/angular.js 8005 9905 [7564, 5279, 7905, 7778, 4204, 8558, 8785, 8963, 8005, 8788, 8638, 2631, 8635, 7800, 4234, 5760, 8577, 1415, 5507, 4614, 1247, 8190, 9513, 9071, 5261, 4730, 1904, 4682, 4492, 7445]
angular/angular.js 4858 9013 [3380, 517, 7835, 2728, 43, 8962, 8842, 3157, 2128, 4858, 2499, 2418, 5651, 511, 2584, 8060, 6840, 2681, 1045, 8965, 7878, 6261, 1874, 8745, 8705, 5843, 2808, 2305, 485, 7589]
angular/angular.js 3376 5080 [3376, 1645, 1641, 2342, 3446, 4901, 3526, 5035, 1324, 3695, 3693, 3292, 2698, 1748, 2073, 3534, 2212, 1253, 3628, 3409, 3318, 5039, 4448, 4183, 3403, 891, 3075, 3621, 4353, 3003]
angular/angular.js 9265 9917 [5045, 7248, 9497, 6890, 936, 2293, 9697, 3665, 4444, 9496, 2489, 2605, 3687, 2600, 9265, 1249, 956, 3086, 2599, 3269, 9623, 6496, 4119, 4118, 4117, 4116, 5544, 9679, 7768, 841]
angular/angular.js 2060 2439 [1507, 2083, 1612, 1996, 1984, 1353, 1547, 1803, 1211, 1607, 1483, 1113, 1045, 2202, 1640, 1983, 1921, 2378, 764, 965, 284, 2060, 1672, 2054, 1514, 1593, 2099, 891, 1890, 1408]
angular/angular.js 2216 2260 [2170, 2216, 944, 1661, 2089, 1602, 2187, 1278, 2155, 1399, 964, 928, 1865, 2215, 2020, 1816, 618, 1350, 2141, 1631, 1264, 1115, 1810, 1121, 2006, 1708, 1790, 1108, 2018, 525]
angular/angular.js 10592 7762 [1528, 6932, 7757, 4317, 4926, 7543, 3460, 3709, 4764, 7486, 5359, 3049, 3685, 3689, 4270, 4509, 6420, 1617, 4175, 919, 6414, 7158, 4417, 3605, 4599, 4865, 7485, 4176, 2509, 5480]
angular/angular.js 2396 2488 [2381, 2396, 2405, 2292, 2298, 2415, 2331, 2265, 2286, 291, 2311, 1108, 1552, 1249, 2312, 1115, 250, 2223, 2130, 658, 889, 579, 785, 1494, 1783, 1242, 1196, 919, 916, 849]
angular/angular.js 4479 4612 [4602, 4376, 4487, 541, 3908, 437, 4083, 728, 3774, 462, 2413, 1023, 4586, 3830, 2807, 809, 3904, 510, 4547, 3902, 4485, 2960, 1564, 2265, 4541, 2020, 1025, 2758, 4061, 2422]
angular/angular.js 5110 5174 [5110, 3293, 1655, 2202, 2415, 3709, 900, 4375, 4015, 3320, 2648, 2631, 2469, 1349, 3446, 2886, 916, 550, 2162, 240, 1458, 1078, 3607, 4967, 3314, 179, 4868, 2405, 4498, 4497]
angular/angular.js 12477 12524 [12477, 11790, 5137, 873, 9770, 9751, 11290, 9787, 11124, 10990, 6252, 4717, 4736, 3285, 1552, 1470, 4389, 6911, 5101, 3377, 1887, 9769, 5819, 8417, 3710, 5193, 10976, 8227, 8212, 8193]
angular/angular.js 4351 4369 [4351, 2940, 1461, 3342, 2399, 1834, 1162, 4033, 1145, 3832, 3676, 3671, 3972, 3707, 3004, 894, 810, 774, 755, 250, 4015, 3831, 1894, 4335, 4186, 4014, 4012, 3945, 3398, 3380]
angular/angular.js 15538 15542 [15538, 2326, 2143, 2315, 8020, 3331, 6719, 2551, 7080, 1406, 5978, 1188, 3107, 11528, 11519, 2419, 9448, 8755, 11834, 9521, 9453, 9452, 12665, 5604, 1494, 14495, 11793, 3632, 12425, 1611]
angular/angular.js 2252 2265 [2252, 2176, 2042, 2006, 1622, 1108, 1829, 994, 765, 147, 11, 2122, 2017, 548, 328, 244, 41, 2216, 2203, 2198, 2189, 2187, 2182, 2179, 2170, 2169, 2162, 2155, 2128, 2127]
angular/angular.js 6692 6716 [5339, 6285, 5845, 6692, 6153, 6046, 3178, 2978, 2327, 6189, 4704, 2290, 6174, 5187, 2357, 3272, 2353, 5222, 2313, 2812, 2719, 2399, 5242, 3158, 4638, 5313, 4418, 2922, 2884, 2883]
angular/angular.js 14967 6412 [3318, 4580, 4956, 3628, 5314, 4901, 1368, 3695, 3895, 3355, 1748, 3446, 5335, 1641, 2974, 2342, 3376, 5420, 3403, 2073, 3452, 3534, 5035, 3292, 1645, 4346, 5941, 1108, 4353, 3606]
angular/angular.js 10618 10619 [6112, 10618, 319, 6963, 6958, 814, 2821, 7288, 6637, 2547, 6448, 7963, 5269, 1242, 459, 9474, 5694, 4194, 1739, 7942, 4651, 3085, 9642, 6136, 5461, 4078, 8157, 958, 3786, 9594]
angular/angular.js 12072 4282 [2116, 3618, 3595, 3838, 2202, 317, 401, 1966, 3600, 315, 2445, 2260, 707, 739, 2738, 1613, 597, 1760, 520, 3120, 250, 302, 655, 3649, 2493, 2887, 4144, 3978, 3622, 2884]
angular/angular.js 4083 4171 [4083, 3908, 3699, 3902, 2286, 2265, 2758, 2492, 3830, 3086, 2381, 656, 3904, 3301, 2147, 703, 2292, 3269, 2298, 3680, 809, 794, 2331, 3705, 2562, 4143, 3339, 1631, 2960, 2043]
angular/angular.js 15917 15919 [15399, 10377, 13938, 13919, 11739, 13949, 11584, 13940, 11994, 11849, 15871, 15917, 12212, 15765, 15526, 15518, 12227, 4965, 9852, 13808, 13959, 6605, 9519, 15577, 6756, 5086, 6500, 3761, 12052, 8689]
angular/angular.js 8628 8716 [8628, 7384, 7530, 7265, 2531, 7499, 932, 1028, 4385, 7772, 7387, 3437, 7828, 5372, 1494, 7610, 6101, 7759, 8197, 1870, 3379, 4654, 7565, 4266, 8689, 5419, 5163, 3248, 5133, 1024]
angular/angular.js 1745 3393 [1745, 3332, 2889, 3359, 565, 972, 253, 1901, 2059, 2393, 3372, 540, 2515, 968, 748, 2571, 1932, 2922, 1560, 1559, 2834, 760, 1634, 1692, 1804, 577, 2555, 754, 519, 1198]
angular/angular.js 6474 7079 [6474, 6355, 6839, 6588, 6878, 6599, 791, 1042, 986, 779, 270, 252, 245, 240, 211, 1280, 689, 229, 809, 2605, 5790, 4813, 3267, 64, 6267, 3184, 5795, 5792, 5633, 3934]
angular/angular.js 3135 4086 [1028, 2988, 1024, 3135, 3251, 2741, 2426, 2129, 2657, 1077, 3148, 1866, 1783, 3841, 2443, 4057, 1121, 4060, 4066, 2553, 1530, 2917, 2559, 3658, 841, 2904, 2202, 936, 771, 870]
angular/angular.js 8606 8626 [8606, 4037, 7835, 5604, 1494, 233, 2947, 3301, 1042, 779, 270, 240, 3680, 2147, 1406, 1188, 810, 774, 755, 3725, 655, 8336, 8154, 8389, 8015, 7852, 5992, 5978, 5932, 5599]
angular/angular.js 7903 7906 [7903, 849, 3606, 2523, 5579, 1047, 5679, 5043, 7689, 5390, 7731, 7728, 7514, 4940, 2529, 7235, 4529, 5603, 6582, 1623, 2503, 2725, 1046, 5765, 6713, 7688, 1851, 1230, 5636, 2665]
angular/angular.js 5101 5108 [5101, 3377, 4717, 4736, 1470, 3285, 3931, 873, 1887, 1552, 3306, 3159, 4389, 2158, 3194, 3710, 1982, 3527, 4456, 3438, 163, 4656, 3488, 2037, 888, 2978, 2625, 4972, 2665, 3803]
angular/angular.js 5746 9827 [3602, 3481, 4388, 4336, 7809, 5860, 3332, 8200, 4125, 8497, 4975, 5542, 8793, 8358, 1745, 3500, 9407, 9502, 4447, 4192, 4242, 2889, 5855, 5614, 7427, 9130, 6982, 3583, 5714, 8496]
angular/angular.js 8233 8492 [5933, 6421, 1043, 5972, 6946, 5190, 8407, 4896, 1675, 6303, 8233, 2398, 5089, 7915, 2950, 2121, 2206, 1062, 848, 2435, 1040, 5158, 2204, 4143, 1151, 6935, 4077, 3533, 6834, 2485]
angular/angular.js 7262 7479 [6965, 2535, 2020, 7262, 6732, 4958, 1023, 1264, 6786, 4220, 2807, 1946, 1564, 4813, 4061, 2422, 4807, 3388, 2413, 6324, 4471, 7140, 3084, 1602, 1347, 2018, 5015, 3717, 3649, 3437]
angular/angular.js 8133 8206 [8177, 8130, 5467, 5647, 2245, 3569, 6533, 6556, 2469, 3985, 3930, 1185, 5510, 4615, 826, 7820, 4924, 4263, 4081, 931, 863, 681, 2988, 5499, 7793, 7026, 4918, 3333, 8133, 3749]
angular/angular.js 8837 9356 [8837, 9300, 5043, 9329, 5579, 1047, 4215, 5350, 5045, 3927, 4015, 3366, 1885, 1877, 1205, 7903, 5679, 3647, 5419, 3857, 3459, 7906, 4457, 5508, 4829, 5523, 4207, 7828, 7514, 5235]
angular/angular.js 4410 4530 [4410, 4415, 2429, 1185, 1174, 1176, 1175, 1172, 4390, 374, 4351, 4188, 1722, 446, 1967, 900, 3280, 327, 1421, 4395, 3515, 3014, 275, 3832, 3749, 1145, 3831, 3471, 1106, 4063]
angular/angular.js 1701 1851 [1701, 849, 1676, 929, 1364, 1230, 1209, 1643, 1047, 1836, 716, 1043, 1028, 1066, 1623, 1046, 1757, 1395, 1455, 1748, 804, 1454, 872, 713, 717, 1710, 700, 466, 1045, 291]
angular/angular.js 13495 13497 [13495, 13461, 12666, 12338, 11805, 12696, 11704, 11566, 12669, 2489, 12651, 13082, 12959, 12282, 12123, 12490, 12381, 12340, 7958, 7722, 4800, 4742, 3801, 2647, 13363, 12585, 11852, 2280, 13175, 13488]
angular/angular.js 4529 4940 [4529, 1835, 1230, 1836, 2503, 4514, 3897, 4761, 849, 1120, 2529, 1623, 3857, 3979, 2523, 4021, 1046, 1908, 870, 867, 1047, 4830, 3606, 1548, 2725, 2665, 3736, 3735, 3533, 4527]
angular/angular.js 4872 5084 [4872, 4487, 4823, 4083, 4602, 4586, 3699, 3904, 3830, 4485, 2265, 2758, 570, 2286, 730, 2492, 4929, 5048, 3908, 4801, 797, 4809, 2292, 640, 2298, 2147, 2331, 3902, 4422, 3339]
angular/angular.js 11722 11803 [11722, 5570, 6541, 10329, 8994, 9283, 4823, 8893, 5571, 7759, 3908, 5595, 7330, 4586, 3904, 2265, 1487, 4972, 6176, 5252, 4487, 6259, 2758, 11766, 5234, 2292, 9215, 2492, 9000, 11275]
angular/angular.js 6983 6986 [6983, 5904, 2043, 854, 4408, 1829, 2037, 4240, 2601, 936, 5897, 5472, 362, 4004, 4106, 1926, 4039, 5337, 5550, 3459, 5362, 3030, 656, 3001, 11, 5606, 3566, 4087, 4086, 3002]
angular/angular.js 6098 6215 [2887, 1760, 3597, 6098, 3904, 3859, 5637, 5631, 3714, 1938, 4119, 5451, 302, 265, 2587, 4096, 151, 771, 4273, 1535, 4828, 870, 3356, 2270, 5611, 1863, 668, 2878, 3839, 770]
angular/angular.js 4410 4544 [4535, 4532, 4410, 4530, 4390, 4415, 4395, 1176, 4283, 3641, 1172, 4351, 2629, 374, 1174, 1175, 4418, 4400, 4399, 4112, 3835, 2863, 2718, 2443, 2440, 2374, 2229, 2208, 2202, 1666]
angular/angular.js 4860 4916 [4860, 3515, 1722, 3039, 2921, 2789, 1967, 1892, 1817, 900, 265, 3815, 2429, 2254, 2251, 1784, 863, 758, 664, 4906, 4840, 2412, 2292, 2279, 1874, 1359, 4901, 4839, 4783, 4782]
angular/angular.js 4963 4968 [4963, 4799, 4784, 3815, 2921, 1817, 286, 4916, 4281, 4938, 3897, 3496, 3021, 2412, 1874, 1784, 1398, 758, 668, 649, 385, 69, 3839, 2779, 2189, 1507, 520, 4286, 4273, 2992]
angular/angular.js 6065 6876 [5346, 6065, 3251, 1783, 5433, 4153, 6684, 2657, 4779, 2561, 6002, 4344, 2553, 5689, 5423, 2897, 5780, 5960, 4295, 2129, 5541, 3284, 5543, 5872, 4267, 871, 6243, 3177, 4791, 5640]
angular/angular.js 2357 2399 [2327, 2353, 2313, 2357, 1355, 1348, 2290, 2199, 1489, 2103, 2094, 1544, 1461, 1145, 1843, 374, 1176, 1336, 1178, 1172, 1395, 1106, 1175, 1950, 2200, 1171, 1182, 2108, 1834, 1161]
angular/angular.js 4615 4658 [4615, 4642, 4386, 1078, 4564, 3125, 2888, 1295, 1294, 4647, 4499, 4496, 4426, 4166, 3785, 2991, 2714, 2544, 2428, 2183, 2110, 2011, 1892, 1520, 1424, 1340, 4577, 3761, 3593, 2338]
angular/angular.js 6801 6807 [6801, 1028, 4616, 3489, 5163, 6781, 5639, 3437, 932, 4589, 4649, 2738, 5479, 6598, 4217, 3514, 4149, 6064, 5310, 6242, 1860, 5385, 1022, 3927, 2617, 2061, 4421, 5135, 5133, 6501]
angular/angular.js 4512 4630 [4512, 2603, 4161, 2312, 3254, 3374, 4005, 3680, 4385, 4015, 2642, 3444, 2580, 529, 4101, 2968, 2620, 445, 3447, 1242, 93, 3943, 664, 521, 3467, 2807, 1278, 437, 2952, 2298]
